username,followers,following,uploads,average_engagement_rate,date,
"lacoste","4601340","325","2942","0.91","2020-01-22+15:06:01",
"lacoste","4600535","325","2942","0.92","2020-01-21+15:06:01",
"lacoste","4599729","325","2942","0.92","2020-01-20+15:06:01",
"lacoste","4598924","325","2942","0.92","2020-01-19+15:06:01",
"lacoste","4598119","325","2942","0.92","2020-01-18+15:06:01",
"lacoste","4597314","326","2942","0.92","2020-01-17+15:06:01",
"lacoste","4596318","326","2941","0.91","2020-01-16+05:08:01",
"lacoste","4595323","326","2941","0.91","2020-01-15+05:08:01",
"lacoste","4594328","326","2941","0.90","2020-01-14+05:08:01",
"lacoste","4593333","326","2941","0.90","2020-01-13+05:08:01",
"lacoste","4592338","326","2941","0.89","2020-01-12+05:08:01",
"lacoste","4591343","326","2941","0.89","2020-01-11+05:08:01",
"lacoste","4590348","326","2941","0.88","2020-01-10+05:08:01",
"lacoste","4588879","326","2940","0.87","2020-01-09+21:56:01",
"lacoste","4587411","326","2940","0.86","2020-01-08+21:56:01",
"lacoste","4585943","326","2940","0.85","2020-01-07+21:56:01",
"lacoste","4584475","326","2940","0.85","2020-01-06+21:56:01",
"lacoste","4583006","326","2939","0.84","2020-01-05+21:56:01",
"lacoste","4581538","326","2939","0.83","2020-01-04+21:56:01",
"lacoste","4580070","326","2939","0.82","2020-01-03+21:56:01",
"lacoste","4578602","326","2939","0.81","2020-01-02+21:56:01",
"lacoste","4577476","326","2938","0.78","2020-01-01+14:04:01",
"lacoste","4576351","326","2938","0.74","2019-12-31+14:04:01",
"lacoste","4575225","326","2938","0.71","2019-12-30+14:04:01",
"lacoste","4574100","326","2937","0.68","2019-12-29+14:04:01",
"lacoste","4572974","326","2937","0.65","2019-12-28+14:04:01",
"lacoste","4571849","326","2937","0.61","2019-12-27+14:04:01",
"lacoste","4570724","326","2937","0.58","2019-12-26+14:04:01",
"lacoste","4569144","325","2936","0.55","2019-12-25+08:26:02",
"lacoste","4567564","325","2936","0.51","2019-12-24+08:26:02",
"lacoste","4565984","325","2936","0.48","2019-12-23+08:26:02",
"lacoste","4564404","324","2935","0.45","2019-12-22+08:26:02",
